Trace
Log Plot
A.14.05,N9000A
38018939.6320561,-119.026721915199
39054102.9411638,-118.983264004943
40117451.2308862,-118.870538904374
41209751.909733,-118.825656238198
42331793.2808821,-118.782576464707
43484385.1110907,-118.806779801694
44668359.2150963,-118.771361363838
45884570.05593,-118.523695874124
47133895.3615741,-118.429845270505
48417236.7584099,-118.316920085472
49735520.421914,-118.356157471875
51089697.7450693,-118.370812721802
52480746.0249772,-118.290123821391
53909669.1681638,-118.333030318862
55377498.415089,-118.420614694499
56885293.0843841,-118.404322528082
58434141.3373518,-118.400891744321
60025160.9632815,-118.44614361634
61659500.1861482,-118.535325549282
63338338.4932745,-118.432418740874
65062887.4865558,-118.490823495834
66834391.7568614,-118.498677309663
68654129.7822455,-118.460456894591
70523414.8506112,-118.463231386249
72443596.007499,-118.515413239623
74416059.0296806,-118.575263895694
76442227.42526,-118.540895844082
78523563.4610072,-118.520727775615
80661569.2176614,-118.513589331934
82857787.673969,-118.525439959687
85113803.8202376,-118.555087089261
87431245.8022074,-118.53822064233
89811786.0960694,-118.511199302095
92257142.7154763,-118.64475341486
94769080.451416,-118.671903181596
97349412.1458449,-118.517120499854
100000000,-118.524536163157
