mesurement	 time stamp	N1S0	N3P0	 Ntot	ex.rate	time stamp 2		# AOM frequency A	# AOM frequency B	# Zeeman shift (Hz)	# fHgAOM (Hz)	# drift rate A	# drift rate B
585.000	-3.687	585.000	3514346877.408	1598.135	81.203	1679.338	0.048	-1.055	-0.982	-0.184	-0.440
586.000	-3.687	586.000	3514346878.908	1599.156	540.990	2140.146	0.253	-1.055	-0.158	-0.184	-0.440
587.000	-5.277	587.000	3514346880.409	1645.910	623.574	2269.483	0.275	-1.055	-0.158	-0.184	-0.440
588.000	-5.277	588.000	3514346881.909	799.689	1307.236	2106.925	0.620	-1.055	-0.158	-0.217	-0.440
589.000	-3.703	589.000	3514346883.411	1691.864	142.869	1834.733	0.078	-1.055	-0.158	-0.217	-0.440
590.000	-3.703	590.000	3514346884.911	1923.765	282.976	2206.741	0.128	-1.055	-0.158	-0.217	-2.004
591.000	-0.148	591.000	3514346886.410	1996.004	107.547	2103.551	0.051	-1.055	-0.158	-0.217	-2.004
592.000	-0.148	592.000	3514346887.910	1548.229	475.870	2024.099	0.235	1.799	-0.158	-0.217	-2.004
593.000	0.295	593.000	3514346889.410	1047.219	666.198	1713.417	0.389	1.799	-0.158	-0.217	-2.004
594.000	0.295	594.000	3514346890.910	867.621	910.596	1778.217	0.512	1.799	3.042	-0.217	-2.004
595.000	2.004	595.000	3514346892.410	839.871	1091.748	1931.619	0.565	1.799	3.042	-0.217	-2.004
596.000	2.004	596.000	3514346893.910	1596.181	316.523	1912.704	0.165	1.799	3.042	0.443	-2.004
597.000	2.660	597.000	3514346895.409	1301.631	551.745	1853.376	0.298	1.799	3.042	0.443	-2.004
598.000	2.660	598.000	3514346896.910	1754.068	306.558	2060.626	0.149	1.799	3.042	0.443	1.619
599.000	2.469	599.000	3514346898.410	1420.402	264.032	1684.434	0.157	1.799	3.042	0.443	1.619
600.000	2.469	600.000	3514346899.909	1598.801	229.894	1828.695	0.126	1.085	3.042	0.443	1.619
