Trace1,
Freq,,Amp,,
            21218659,Hz,              -54.75, dBm,
            21223654,Hz,              -54.83, dBm,
            21228649,Hz,              -56.65, dBm,
            21233644,Hz,              -53.60, dBm,
            21238639,Hz,              -55.21, dBm,
            21243634,Hz,              -55.56, dBm,
            21248629,Hz,              -53.31, dBm,
            21253624,Hz,              -55.90, dBm,
            21258619,Hz,              -56.10, dBm,
            21263614,Hz,              -56.40, dBm,
            21268609,Hz,              -56.66, dBm,
            21273604,Hz,              -54.70, dBm,
            21278599,Hz,              -56.25, dBm,
            21283594,Hz,              -53.73, dBm,
            21288589,Hz,              -54.19, dBm,
            21293584,Hz,              -55.11, dBm,
            21298579,Hz,              -55.22, dBm,
            21303574,Hz,              -54.17, dBm,
            21308569,Hz,              -54.48, dBm,
            21313564,Hz,              -59.22, dBm,
            21318559,Hz,              -55.06, dBm,
            21323554,Hz,              -56.45, dBm,
            21328549,Hz,              -57.00, dBm,
            21333544,Hz,              -56.89, dBm,
            21338539,Hz,              -57.46, dBm,
            21343534,Hz,              -54.09, dBm,
            21348529,Hz,              -54.63, dBm,
            21353524,Hz,              -56.87, dBm,
            21358519,Hz,              -58.59, dBm,
            21363514,Hz,              -56.34, dBm,
            21368509,Hz,              -54.29, dBm,
            21373504,Hz,              -57.57, dBm,
            21378499,Hz,              -55.24, dBm,
            21383494,Hz,              -54.29, dBm,
            21388489,Hz,              -57.30, dBm,
            21393484,Hz,              -55.30, dBm,
            21398479,Hz,              -53.98, dBm,
            21403474,Hz,              -55.11, dBm,
            21408469,Hz,              -56.70, dBm,
            21413464,Hz,              -57.36, dBm,
            21418459,Hz,              -58.74, dBm,
            21423454,Hz,              -58.81, dBm,
            21428449,Hz,              -56.29, dBm,
            21433444,Hz,              -54.77, dBm,
            21438439,Hz,              -56.48, dBm,
            21443434,Hz,              -57.10, dBm,
            21448429,Hz,              -58.15, dBm,
            21453424,Hz,              -57.08, dBm,
            21458419,Hz,              -56.48, dBm,
            21463414,Hz,              -60.39, dBm,
            21468409,Hz,              -54.06, dBm,
            21473404,Hz,              -57.14, dBm,
            21478399,Hz,              -54.09, dBm,
            21483394,Hz,              -54.36, dBm,
            21488389,Hz,              -54.08, dBm,
            21493384,Hz,              -56.13, dBm,
            21498379,Hz,              -54.23, dBm,
